MOD:01631,A,-71.08
MOD:00090,A,-0.98
MOD:00856,A,1.01
MOD:00070,A,14.03
MOD:01915,A,28.01
MOD:01179,A,28.05
MOD:00050,A,42.04
MOD:00348,A,43.02
MOD:00071,A,43.09
MOD:01873,A,44.01
MOD:00172,A,123.05
MOD:01172,A,123.05
MOD:00388,A,268.25
MOD:01635,C,-103.14
MOD:00793,C,-34.08
MOD:00136,C,-33.09
MOD:00193,C,-18.08
MOD:00892,C,-16.06
MOD:01457,C,-16.06
MOD:00798,C,-1.01
MOD:00094,C,-0.98
MOD:01444,C,-0.06
MOD:00965,C,12.01
MOD:00114,C,14.03
MOD:00239,C,14.03
MOD:01682,C,14.03
MOD:00210,C,16.00
MOD:00338,C,25.01
MOD:00235,C,29.00
MOD:00267,C,32.00
MOD:00274,C,32.06
MOD:00419,C,40.02
MOD:00052,C,42.04
MOD:00065,C,42.04
MOD:00340,C,42.04
MOD:00646,C,42.04
MOD:00337,C,43.02
MOD:00884,C,43.07
MOD:00598,C,44.05
MOD:00110,C,46.09
MOD:00597,C,46.09
MOD:00686,C,46.91
MOD:01343,C,46.91
MOD:00460,C,48.00
MOD:01284,C,56.06
MOD:01060,C,57.05
MOD:01214,C,57.05
MOD:01061,C,58.04
MOD:01329,C,58.04
MOD:01829,C,58.04
MOD:00279,C,70.05
MOD:01277,C,70.09
MOD:00417,C,71.08
MOD:01079,C,71.08
MOD:01793,C,73.05
MOD:01830,C,74.03
MOD:00474,C,74.06
MOD:00991,C,74.08
MOD:00622,C,76.11
MOD:00282,C,78.97
MOD:00043,C,79.98
MOD:00180,C,80.06
MOD:01191,C,85.11
MOD:00795,C,86.09
MOD:01831,C,89.05
MOD:01189,C,90.08
MOD:01097,C,90.13
MOD:00410,C,99.13
MOD:00424,C,105.14
MOD:01438,C,105.14
MOD:01258,C,111.10
MOD:01847,C,111.98
MOD:01889,C,116.07
MOD:01776,C,117.17
MOD:00941,C,118.16
MOD:00765,C,119.14
MOD:00169,C,123.05
MOD:00483,C,125.13
MOD:01924,C,126.20
MOD:00939,C,129.12
MOD:01349,C,143.14
MOD:00212,C,146.14
MOD:01237,C,156.22
MOD:01298,C,158.24
MOD:00161,C,162.14
MOD:00799,C,162.14
MOD:01436,C,166.18
MOD:00797,C,168.04
MOD:01466,C,170.17
MOD:00554,C,170.26
MOD:00555,C,170.26
